id,grade9,mat9,slo9,ang9,mat1,slo1,ang1,mat2,slo2,ang2,mat3,slo3,ang3,num_of_comp,num_of_awards,num_of_national_comp,num_of_national_awards,all_missed_hours,all_unexcused_hours,num_of_VU,ponavljanje,passed_year3,year3_overall
62,4,3,5,4,2,4,3,2,3,3,3,3,3,0,0,0,0,22,0,0,False,True,3.0
63,3,4,3,3,2,4,3,3,3,3,3,3,3,0,0,0,0,31,0,0,False,True,3.0
64,4,5,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,7,0,0,False,True,3.9
65,3,3,4,3,2,2,2,2,2,2,2,2,2,0,0,0,0,61,2,0,True,True,2.09
66,4,3,4,4,3,3,3,3,3,3,3,3,3,0,0,0,0,25,0,0,False,True,3.0
67,4,3,4,4,3,2,4,3,3,3,3,3,3,0,0,0,0,24,0,0,False,True,3.0
68,4,4,5,5,3,4,4,4,4,4,4,4,4,0,0,0,0,5,0,0,False,True,3.9
69,4,4,5,4,4,3,3,3,3,3,3,3,3,0,0,0,0,18,1,0,False,True,3.0
70,4,3,4,3,2,3,3,3,3,3,3,3,3,0,0,0,0,24,1,0,False,True,3.0
71,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,70,6,0,False,True,2.07
72,3,3,3,3,2,3,3,2,3,3,3,3,3,0,0,0,0,23,0,0,False,True,3.0
73,3,2,3,2,3,2,3,3,3,3,3,3,3,0,0,0,0,21,0,0,False,True,3.0
74,3,3,3,3,3,2,4,3,3,3,3,3,3,0,0,0,0,23,0,0,False,True,3.0
75,4,3,4,5,3,3,4,3,3,3,3,3,3,0,0,0,0,24,0,0,False,True,3.0
76,4,4,4,4,3,3,3,3,3,3,3,3,3,0,0,0,0,31,0,0,False,True,3.0
77,3,2,3,2,3,3,2,3,3,3,3,3,3,0,0,0,0,26,1,0,False,True,3.0
78,3,3,3,3,4,2,3,3,3,3,3,3,3,0,0,0,0,29,1,0,False,True,3.0
79,3,3,2,3,3,2,2,3,2,2,3,2,2,0,0,0,0,82,5,0,False,True,2.38
80,4,5,4,4,3,3,3,3,3,3,3,3,3,0,0,0,0,26,0,0,False,True,3.0
81,4,3,4,5,3,3,4,3,3,3,3,3,3,1,0,0,0,20,1,0,False,True,3.02
82,3,3,2,3,3,2,2,2,2,2,2,2,2,0,0,0,0,70,2,0,False,True,2.09
83,3,4,2,2,3,2,2,2,2,2,2,2,2,0,0,0,0,74,1,0,False,True,2.1
84,5,4,5,5,5,4,5,5,5,5,5,5,5,9,6,4,1,0,0,0,False,True,5.0
85,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,0,4,0,0,False,True,3.95
86,4,2,4,4,3,3,4,3,3,4,3,3,4,0,0,0,0,13,0,0,False,True,3.3
87,3,4,2,2,2,3,3,2,3,3,2,3,3,0,0,0,0,29,0,0,True,True,2.7
88,4,4,5,5,4,3,4,4,4,4,4,4,4,1,0,0,0,8,0,0,False,True,3.92
89,4,3,4,4,2,4,5,3,4,4,3,4,4,1,0,0,0,5,0,0,False,True,3.62
90,4,3,4,4,3,4,3,3,3,3,3,3,3,0,0,0,0,27,1,0,False,True,3.0
91,4,4,4,4,2,3,2,2,2,2,2,2,2,0,0,0,0,69,2,0,True,True,2.09
92,3,3,3,3,2,4,2,2,3,3,3,3,3,0,0,0,0,22,1,0,False,True,3.0
93,3,2,3,2,2,3,3,3,3,3,3,3,3,0,0,0,0,31,0,0,False,True,3.0
94,4,3,4,4,3,3,3,3,3,3,3,3,3,0,0,0,0,27,1,0,False,True,3.0
95,4,4,4,3,3,4,3,3,3,3,3,3,3,0,0,0,0,17,0,0,False,True,3.0
96,5,5,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,5,0,0,False,True,3.9
97,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,64,4,0,False,True,2.08
98,2,2,2,3,2,2,3,2,2,2,2,2,2,0,0,0,0,54,4,0,False,True,2.08
99,5,4,4,4,5,4,4,4,4,4,4,4,4,1,1,0,0,4,0,0,False,True,3.95
100,2,2,3,2,2,3,2,2,2,2,2,2,2,0,0,0,0,63,3,0,False,True,2.08
101,4,4,4,4,3,3,3,3,3,3,3,3,3,0,0,0,0,23,1,0,False,True,3.0
102,5,5,4,4,5,4,5,5,5,5,5,5,5,5,3,0,0,1,0,0,False,True,4.99
103,4,5,4,4,4,3,4,4,4,4,4,4,4,1,0,0,0,3,0,0,False,True,3.92
104,5,5,4,5,4,4,5,4,4,4,4,4,4,1,0,0,0,6,0,0,False,True,3.92
105,5,5,5,5,4,4,5,4,4,4,4,4,4,1,1,0,0,4,0,0,False,True,3.95
106,5,5,4,5,5,5,5,5,5,5,5,5,5,9,6,4,2,0,0,0,False,True,5.0
107,4,4,4,4,3,4,3,3,3,3,3,3,3,0,0,0,0,19,0,0,False,True,3.0
108,4,3,5,4,4,3,4,4,4,4,4,4,4,0,0,0,0,6,1,0,False,True,3.9
109,4,4,4,4,3,3,4,3,3,3,3,3,3,0,0,0,0,26,0,0,False,True,3.0
110,5,5,4,4,5,4,4,4,3,4,4,4,4,0,0,0,0,8,0,0,False,True,3.9
111,3,4,3,3,3,3,2,3,3,3,3,3,3,1,0,0,0,21,1,0,False,True,3.02
112,4,4,4,4,3,3,3,3,3,3,3,3,3,0,0,0,0,28,2,0,False,True,2.99
113,3,2,3,3,3,3,2,3,3,3,3,3,3,1,0,0,0,26,1,0,False,True,3.02
114,4,3,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,6,0,0,False,True,3.9
115,3,3,3,3,4,2,2,3,3,3,3,3,3,0,0,0,0,35,3,0,False,True,2.99
116,3,5,3,3,3,2,2,2,2,2,2,2,2,0,0,0,0,60,3,0,False,True,2.08
117,4,3,4,5,3,3,4,3,3,3,3,3,3,0,0,0,0,24,0,0,False,True,3.0
118,3,2,2,2,3,2,2,2,2,2,2,2,2,0,0,0,0,59,0,0,True,True,2.1
119,4,5,3,3,4,2,5,4,4,5,4,4,4,0,0,0,0,5,0,0,False,True,3.9
120,3,3,3,3,3,2,2,3,2,2,2,3,2,1,0,0,0,52,3,0,True,True,2.41
121,5,5,5,5,3,3,4,3,3,3,3,3,3,0,0,0,0,16,0,0,False,True,3.0
122,4,2,3,4,3,2,3,3,3,3,3,3,3,0,0,0,0,31,1,0,False,True,3.0
123,4,4,4,4,5,4,2,4,4,3,4,4,4,1,1,0,0,11,0,0,False,True,3.95
124,5,4,5,5,4,5,5,5,5,5,5,5,5,8,6,4,1,0,0,0,False,True,5.0
125,3,2,3,3,3,3,2,3,3,3,3,3,3,0,0,0,0,25,1,0,False,True,3.0
126,5,5,4,5,4,5,5,5,5,5,5,5,5,9,7,5,1,0,0,0,False,True,5.0
127,5,5,4,5,4,4,5,4,4,5,4,4,5,2,0,0,0,4,0,0,False,True,4.24
128,3,4,2,3,2,3,3,2,3,3,3,3,3,0,0,0,0,21,0,0,False,True,3.0
129,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,7,0,0,False,True,3.9
130,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,71,3,0,False,True,2.08
131,5,4,5,5,4,5,5,5,5,5,5,5,5,9,6,5,2,1,0,0,False,True,5.0
132,4,3,4,4,3,4,4,4,4,4,4,4,4,1,1,0,0,4,1,0,False,True,3.95
133,4,4,5,5,3,3,3,3,3,3,3,3,3,0,0,0,0,27,0,0,False,True,3.0
134,4,4,4,3,4,4,2,3,3,2,3,3,3,0,0,0,0,32,0,0,False,True,3.0
135,3,4,2,3,4,2,3,3,2,3,3,2,3,0,0,0,0,26,0,0,True,True,2.7
136,5,5,4,5,5,5,4,5,5,5,5,5,5,7,3,0,0,0,0,0,False,True,5.0
137,5,4,5,5,4,4,5,4,4,4,4,4,4,0,0,0,0,3,0,0,False,True,3.9
138,5,5,5,5,4,4,4,4,4,4,4,4,4,2,0,0,0,3,0,0,False,True,3.94
139,4,2,4,4,3,3,3,3,3,3,3,3,3,0,0,0,0,25,2,0,False,True,2.99
140,3,2,3,2,2,3,3,3,3,3,3,3,3,0,0,0,0,20,0,0,False,True,3.0
141,5,5,5,5,5,4,4,4,4,4,4,4,4,1,1,0,0,2,0,0,False,True,3.95
142,4,4,4,5,3,5,4,4,4,4,4,4,3,3,1,0,0,5,0,0,True,True,3.69
143,3,4,4,3,3,3,3,2,3,3,3,2,3,0,0,0,0,24,1,0,True,True,2.69
144,4,5,3,4,4,3,3,3,3,3,3,3,3,0,0,0,0,16,0,0,False,True,3.0
145,2,2,2,2,3,2,2,2,2,2,2,2,2,0,0,0,0,64,1,0,False,True,2.1
146,5,5,5,5,5,4,5,5,5,5,5,5,5,4,1,0,0,0,0,0,False,True,4.91
147,3,3,2,3,2,3,3,3,3,3,3,3,3,0,0,0,0,26,1,0,False,True,3.0
148,3,2,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,30,1,0,False,True,3.0
149,4,4,4,4,3,3,4,3,3,4,3,3,3,1,1,0,0,23,0,0,False,True,3.05
150,4,4,3,4,4,4,4,4,4,4,4,4,4,0,0,0,0,7,0,0,False,True,3.9
151,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,4,0,0,False,True,3.9
152,4,4,4,4,3,3,4,3,3,3,3,3,3,0,0,0,0,12,0,0,False,True,3.0
153,5,5,4,4,4,5,4,4,4,4,4,4,4,1,1,0,0,2,0,0,False,True,3.95
154,3,3,3,4,2,5,3,2,4,3,3,3,3,0,0,0,0,21,0,0,False,True,3.0
155,3,4,3,3,3,2,3,3,3,3,3,3,3,1,0,0,0,16,0,0,False,True,3.02
156,4,4,4,5,4,3,4,4,4,4,4,4,4,1,0,0,0,3,0,0,False,True,3.92
157,4,4,5,5,4,4,4,4,4,4,4,4,4,1,0,0,0,5,0,0,False,True,3.92
158,3,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,67,4,0,False,True,2.08
159,4,3,3,3,3,4,2,3,3,3,3,3,3,0,0,0,0,20,0,0,False,True,3.0
160,3,2,2,3,2,2,2,2,2,2,2,2,2,0,0,0,0,69,6,0,False,True,2.07
161,4,5,4,4,3,3,4,3,3,3,3,3,3,0,0,0,0,23,1,0,False,True,3.0
162,3,2,3,4,2,2,2,2,2,2,2,2,2,0,0,0,0,74,3,0,False,True,2.08
163,4,4,4,3,3,3,4,2,3,3,2,3,2,0,0,0,0,36,3,0,False,True,2.39
164,3,4,3,3,2,3,2,2,2,2,2,2,2,1,0,0,0,79,3,0,False,True,2.1
165,3,4,4,4,3,3,4,3,3,3,3,3,3,0,0,0,0,31,0,0,True,True,3.0
166,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,70,2,0,False,True,2.09
167,3,4,3,2,3,3,2,3,3,3,3,3,3,0,0,0,0,32,0,0,False,True,3.0
168,3,3,2,2,2,3,2,2,2,2,2,2,2,0,0,0,0,60,2,0,False,True,2.09
169,2,2,3,3,2,2,2,2,2,2,2,2,2,0,0,0,0,72,1,0,False,True,2.1
170,3,4,3,3,4,3,3,3,2,3,3,2,3,0,0,0,0,32,0,0,False,True,2.7
171,4,4,4,4,4,3,3,3,3,3,3,3,3,0,0,0,0,18,0,0,False,True,3.0
172,3,3,3,3,3,2,3,3,2,3,3,3,3,0,0,0,0,25,1,0,False,True,3.0
173,3,3,3,3,3,2,2,2,2,2,2,2,2,0,0,0,0,67,5,0,True,True,2.08
174,3,4,3,3,2,3,3,3,3,3,3,3,3,0,0,0,0,16,0,0,False,True,3.0
175,4,5,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,7,0,0,False,True,3.94
176,4,3,4,4,3,4,2,3,3,3,3,3,3,0,0,0,0,26,1,0,False,True,3.0
177,4,5,3,4,3,2,3,3,3,3,3,3,3,0,0,0,0,30,2,0,False,True,2.99
178,3,2,3,3,3,3,4,3,3,4,3,3,3,0,0,0,0,17,0,0,False,True,3.0
179,3,4,4,3,3,3,2,3,3,3,3,3,3,1,0,0,0,27,1,0,False,True,3.02
180,3,5,3,3,3,3,2,3,3,3,3,3,3,0,0,0,0,31,0,0,False,True,3.0
182,5,4,5,5,3,4,4,4,4,4,4,3,4,0,0,0,0,10,1,0,False,True,3.59
183,4,4,3,5,3,4,4,4,4,4,4,4,4,0,0,0,0,9,0,0,False,True,3.9
184,5,4,5,4,3,5,5,4,5,4,4,4,4,0,0,0,0,3,0,0,False,True,3.9
185,3,2,4,3,2,3,4,2,3,3,3,3,3,0,0,0,0,29,2,0,False,True,2.99
186,4,5,4,5,5,3,3,4,4,4,4,4,4,0,0,0,0,2,0,0,False,True,3.9
187,3,3,3,3,3,3,2,3,3,3,3,3,3,0,0,0,0,25,1,0,False,True,3.0
188,3,3,2,3,3,2,2,3,2,2,3,2,2,0,0,0,0,49,2,0,False,True,2.39
189,3,3,3,4,3,2,3,3,3,3,3,3,3,0,0,0,0,24,0,0,False,True,3.0
191,5,5,4,4,4,4,5,4,4,5,4,4,5,3,2,0,0,1,0,0,False,True,4.32
192,3,2,4,4,2,3,2,2,3,2,2,2,2,0,0,0,0,88,6,0,False,True,2.07
193,5,5,5,4,5,5,3,4,4,4,4,4,4,0,0,0,0,4,0,0,False,True,3.9
194,5,5,4,5,3,4,4,4,4,4,4,4,4,0,0,0,0,2,0,0,False,True,3.9
195,4,4,4,4,3,2,3,3,2,3,3,2,3,0,0,0,0,23,0,0,False,True,2.7
196,3,2,3,3,2,2,4,3,2,3,3,2,3,0,0,0,0,14,0,0,True,True,2.7
197,4,5,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,8,0,0,False,True,3.9
198,4,4,3,3,4,3,3,4,3,3,4,3,3,0,0,0,0,8,0,0,False,True,3.3
199,4,3,4,4,3,4,4,4,4,4,4,4,4,1,0,0,0,5,0,0,False,True,3.92
200,5,4,4,4,4,5,4,4,4,4,4,4,4,2,0,0,0,5,0,0,False,True,3.94
201,4,5,4,4,3,4,4,4,4,4,4,4,4,0,0,0,0,10,0,0,False,True,3.9
202,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,64,1,0,True,True,2.1
203,2,3,2,2,2,2,2,2,2,2,3,2,2,0,0,0,0,73,3,0,True,True,2.39
204,5,5,4,5,5,4,5,5,5,5,5,5,5,7,5,0,0,0,0,0,False,True,5.0
205,5,4,5,5,4,5,4,4,5,4,4,5,4,3,2,0,0,0,0,0,False,True,4.32
206,5,4,5,4,3,5,4,4,4,4,4,4,4,0,0,0,0,2,0,0,False,True,3.9
207,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,0,0,0,0,0,False,True,4.97
208,4,5,4,4,5,3,3,4,4,4,4,4,4,1,0,0,0,3,0,0,False,True,3.92
209,4,4,5,5,3,4,5,4,4,5,4,4,5,2,2,0,0,6,0,0,False,True,4.3
210,3,4,2,2,2,3,2,2,2,2,2,2,2,0,0,0,0,67,4,0,False,True,2.08
211,4,4,3,4,3,3,3,3,3,3,3,3,3,0,0,0,0,21,1,0,False,True,3.0
212,4,4,3,3,4,3,2,3,3,2,3,3,3,1,0,0,0,20,0,0,False,True,3.02
213,3,4,2,3,3,2,2,2,2,2,2,2,2,0,0,0,0,54,1,0,False,True,2.1
214,2,2,2,3,3,2,2,2,2,2,2,2,2,0,0,0,0,63,2,0,True,True,2.09
215,3,2,3,3,2,3,2,2,2,3,2,2,3,0,0,0,0,72,4,0,False,True,2.38
216,3,3,3,3,3,3,2,3,3,2,3,3,3,0,0,0,0,22,1,0,False,True,3.0
217,5,4,4,5,4,4,5,4,4,4,4,4,4,1,1,0,0,2,0,0,False,True,3.95
218,5,5,5,4,4,4,3,4,4,4,4,4,4,3,2,0,0,5,0,0,False,True,4.02
219,3,3,3,3,3,4,3,3,3,3,3,3,3,0,0,0,0,25,1,0,False,True,3.0
220,4,3,5,5,4,4,4,4,4,4,4,4,4,0,0,0,0,7,1,0,False,True,3.9
221,5,5,5,4,5,5,5,5,5,5,5,5,5,8,8,7,2,0,0,0,False,True,5.0
222,3,3,3,2,2,3,3,3,3,3,3,3,3,0,0,0,0,26,0,0,False,True,3.0
223,4,5,3,4,5,4,3,4,4,4,4,4,4,0,0,0,0,3,0,0,False,True,3.9
224,3,2,3,3,2,2,4,3,3,3,3,3,3,0,0,0,0,21,0,0,False,True,3.0
225,3,2,2,2,3,2,3,3,3,3,3,3,3,0,0,0,0,28,0,0,False,True,3.0
226,3,2,3,3,2,2,3,2,2,2,2,2,2,0,0,0,0,59,3,0,False,True,2.08
227,4,5,4,4,4,4,3,4,4,4,4,4,4,0,0,0,0,5,0,0,False,True,3.9
228,4,4,5,4,3,4,5,4,4,4,4,4,4,0,0,0,0,11,0,0,False,True,3.9
229,5,5,4,4,5,5,4,5,5,5,5,5,5,7,5,0,0,0,0,0,False,True,5.0
230,5,5,5,5,5,4,3,5,4,4,5,4,4,1,0,0,0,3,0,0,False,True,4.22
231,4,5,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,3,0,0,False,True,3.9
232,3,3,4,3,2,3,4,3,3,3,3,3,3,1,0,0,0,28,0,0,False,True,3.02
233,5,5,5,5,5,4,5,5,4,5,5,5,5,7,7,0,0,0,0,0,False,True,5.0
234,4,4,5,5,3,4,4,4,4,4,4,4,4,0,0,0,0,9,0,0,False,True,3.9
235,4,3,3,4,5,3,4,4,4,4,4,4,4,1,0,0,0,2,0,0,False,True,3.92
236,3,2,3,3,2,2,2,2,2,2,2,2,2,0,0,0,0,75,3,0,False,True,2.08
237,3,2,3,3,3,2,3,3,3,3,3,3,3,0,0,0,0,24,0,0,False,True,3.0
238,3,2,3,3,2,2,2,2,2,2,2,2,2,1,0,0,0,63,3,0,False,True,2.1
239,5,4,4,4,4,4,5,4,4,4,4,4,4,1,1,0,0,3,0,0,False,True,3.95
240,3,5,3,3,4,2,2,4,3,3,4,3,3,0,0,0,0,9,0,0,False,True,3.3
241,3,3,4,4,4,3,3,3,3,3,3,3,3,0,0,0,0,27,1,0,False,True,3.0
242,3,4,3,2,4,2,3,3,3,3,3,3,3,0,0,0,0,26,1,0,False,True,3.0
243,3,2,3,3,2,3,3,3,3,3,3,3,3,0,0,0,0,23,2,0,False,True,2.99
244,2,2,2,3,2,2,2,2,2,2,2,2,2,0,0,0,0,55,4,0,True,True,2.08
245,4,4,4,4,3,4,4,4,4,4,4,4,4,0,0,0,0,7,0,0,False,True,3.9
246,4,3,4,3,4,4,3,4,4,3,4,4,4,1,0,0,0,5,0,0,False,True,3.92
247,3,2,2,3,3,3,3,2,3,3,3,2,3,0,0,0,0,16,1,0,True,True,2.69
248,4,3,4,3,2,3,3,2,3,3,2,3,3,0,0,0,0,24,0,0,False,True,2.7
249,5,5,4,4,5,5,5,5,5,5,5,5,5,10,7,4,1,0,0,0,False,True,5.0
250,3,3,3,3,2,4,2,3,3,2,3,3,3,0,0,0,0,30,0,0,False,True,3.0
251,5,5,5,4,3,4,4,4,4,4,4,4,4,0,0,0,0,3,0,0,False,True,3.9
252,3,3,3,3,3,2,2,3,2,2,2,2,2,0,0,0,0,68,6,0,False,True,2.07
253,3,3,2,3,3,2,2,2,2,2,2,2,2,0,0,0,0,55,6,0,False,True,2.07
254,5,5,5,5,4,5,4,4,4,4,4,4,4,2,0,0,0,4,0,0,False,True,3.94
255,4,4,4,5,3,4,5,4,4,4,4,4,4,0,0,0,0,9,0,0,False,True,3.9
256,3,3,3,3,3,4,2,3,3,2,3,3,2,0,0,0,0,19,0,0,False,True,2.7
257,4,4,3,4,4,4,5,4,4,4,4,4,4,1,0,0,0,2,0,0,False,True,3.92
258,3,4,3,3,2,2,2,2,2,2,2,2,2,0,0,0,0,72,0,0,True,True,2.1
259,4,3,4,4,3,4,3,3,3,3,3,3,3,0,0,0,0,25,0,0,False,True,3.0
260,4,4,4,4,3,4,4,4,4,4,4,4,4,0,0,0,0,16,0,0,False,True,3.9
261,3,3,3,3,2,3,3,3,3,3,3,3,3,0,0,0,0,23,1,0,False,True,3.0
262,3,4,4,3,3,3,2,3,3,3,3,3,3,1,0,0,0,25,0,0,False,True,3.02
263,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,82,1,0,True,True,2.1
264,4,4,3,4,3,4,4,4,4,4,4,4,4,0,0,0,0,7,1,0,False,True,3.9
265,3,2,4,4,2,3,3,3,3,3,3,3,3,0,0,0,0,23,0,0,False,True,3.0
266,3,3,2,2,3,3,3,3,3,3,3,3,3,0,0,0,0,19,1,0,False,True,3.0
267,5,5,4,5,5,4,5,5,5,5,5,5,5,9,7,5,3,0,0,0,False,True,5.0
268,2,2,3,3,2,2,3,2,2,2,2,2,2,0,0,0,0,70,6,0,False,True,2.07
269,5,5,5,5,5,4,5,5,5,5,5,5,5,9,7,6,3,0,0,0,False,True,5.0
270,4,4,4,4,4,3,4,4,4,4,4,4,4,2,1,0,0,6,0,0,False,True,3.97
271,3,4,3,3,3,3,2,3,3,3,3,3,3,0,0,0,0,27,0,0,False,True,3.0
272,5,5,4,4,5,3,4,5,4,4,4,4,4,2,0,0,0,4,0,0,False,True,3.94
273,3,2,3,2,3,2,2,2,2,2,2,2,2,0,0,0,0,56,0,0,True,True,2.1
274,5,4,4,4,4,4,4,4,4,4,4,4,4,3,0,0,0,4,0,0,False,True,3.96
275,3,2,2,2,3,3,2,3,3,2,2,3,2,0,0,0,0,36,2,0,False,True,2.39
276,3,2,3,2,2,3,3,2,3,3,3,2,3,0,0,0,0,21,1,0,False,True,2.69
