id,grade9,mat9,slo9,ang9,mat1,slo1,ang1,num_of_comp,num_of_awards,num_of_national_comp,num_of_national_awards,all_missed_hours,all_unexcused_hours,num_of_VU,retake,passed_year1,year1_overall
95,3,4,3,3,3,2,3,0,0,0,0,27,1,0,False,True,3
96,3,3,3,3,3,3,2,0,0,0,0,33,1,0,False,True,3
97,2,4,2,2,3,2,2,0,0,0,0,151,10,1,False,True,2
98,3,2,4,4,2,3,3,0,0,0,0,13,0,0,False,True,3
99,3,5,3,3,3,3,2,0,0,0,0,8,0,0,False,True,3
100,3,4,3,3,3,3,2,0,0,0,0,32,0,0,False,True,3
101,4,4,3,3,3,3,4,0,0,0,0,7,0,0,False,True,3
102,3,4,3,4,3,2,3,0,0,0,0,24,1,0,False,True,3
103,2,2,2,3,2,2,2,0,0,0,0,105,10,1,False,True,2
104,4,3,3,3,3,2,3,0,0,0,0,58,2,0,False,True,3
105,2,4,2,2,3,2,1,0,0,0,0,28,1,0,True,False,2
106,3,2,4,4,3,3,3,0,0,0,0,36,1,0,False,True,3
107,3,2,2,3,3,3,3,0,0,0,0,39,3,0,False,True,3
108,4,4,4,4,4,4,4,0,0,0,0,3,1,0,False,True,4
109,3,2,4,3,3,3,3,0,0,0,0,67,8,0,False,True,3
110,4,4,3,4,3,4,4,0,0,0,0,7,0,0,False,True,4
111,3,4,3,2,3,3,2,0,0,0,0,43,0,0,False,True,3
112,3,3,4,4,2,4,3,0,0,0,0,4,0,0,False,True,3
113,4,5,3,4,4,4,4,0,0,0,0,0,0,0,False,True,4
114,3,2,2,3,3,3,3,0,0,0,0,31,1,0,False,True,3
115,4,4,3,4,4,4,4,0,0,0,0,4,0,0,False,True,4
116,3,2,4,5,2,3,3,1,0,0,0,114,9,0,False,True,3
117,3,2,3,4,2,4,2,0,0,0,0,44,0,0,False,True,3
118,3,3,3,3,2,3,3,0,0,0,0,32,1,0,False,True,3
119,4,2,4,4,3,4,3,0,0,0,0,5,0,0,False,True,3
120,4,4,3,4,4,3,3,0,0,0,0,5,0,0,False,True,3
121,2,2,2,2,2,2,2,0,0,0,0,119,12,1,True,True,2
122,2,3,3,3,2,2,2,0,0,0,0,42,3,0,False,True,2
123,4,2,4,5,3,2,4,0,0,0,0,10,0,0,False,True,3
124,3,3,3,4,3,3,3,1,0,0,0,47,1,0,False,True,3
125,3,2,2,3,3,3,3,0,0,0,0,35,1,0,False,True,3
126,2,2,2,2,2,2,2,0,0,0,0,88,6,0,True,True,2
127,3,5,2,3,3,3,3,0,0,0,0,18,0,0,False,True,3
128,3,2,3,3,2,3,3,0,0,0,0,11,0,0,False,True,3
129,3,4,3,3,3,3,3,0,0,0,0,12,0,0,False,True,3
130,5,5,3,5,5,4,4,2,1,1,0,1,0,0,False,True,4
131,3,2,3,3,3,4,2,0,0,0,0,6,0,0,False,True,3
132,5,4,4,5,4,5,4,1,1,0,0,1,0,0,False,True,4
133,4,4,3,4,4,4,4,2,0,0,0,4,0,0,False,True,4
134,5,5,4,5,5,4,5,1,0,0,0,1,0,0,False,True,5
135,2,2,2,2,2,2,2,0,0,0,0,75,5,0,False,True,2
136,3,2,4,4,2,3,3,0,0,0,0,35,1,0,False,True,3
137,2,3,2,3,2,2,2,0,0,0,0,119,9,0,True,True,2
138,2,2,2,2,2,2,2,0,0,0,0,111,7,0,True,True,2
139,2,2,2,2,1,2,2,0,0,0,0,131,7,0,True,False,2
140,2,2,2,2,2,2,2,0,0,0,0,133,9,0,True,True,2
141,5,4,4,4,5,4,4,2,0,0,0,2,0,0,False,True,4
142,4,2,3,4,4,4,4,1,0,0,0,7,0,0,False,True,4
143,3,2,4,4,2,3,3,0,0,0,0,81,6,0,False,True,3
144,3,3,3,3,3,2,3,0,0,0,0,49,3,0,True,True,3
145,4,4,3,3,4,3,4,0,0,0,0,6,0,0,False,True,4
146,3,5,3,3,3,2,3,1,0,0,0,29,0,0,False,True,3
147,4,5,3,4,5,4,5,0,0,0,0,0,0,0,False,True,4
148,2,4,3,3,2,3,2,0,0,0,0,33,0,0,False,True,2
149,2,2,2,2,2,2,2,0,0,0,0,129,11,1,False,True,2
150,5,4,4,4,4,4,5,1,1,1,1,1,0,0,False,True,4
151,4,3,3,4,3,3,4,0,0,0,0,7,0,0,False,True,3
152,2,3,2,2,3,2,3,1,0,0,0,89,6,0,False,True,3
153,4,2,3,4,3,3,3,1,0,0,0,27,0,0,False,True,3
154,3,4,3,3,3,2,2,0,0,0,0,97,4,0,False,True,2
155,4,4,3,4,3,4,4,0,0,0,0,2,0,0,False,True,4
156,2,2,2,2,2,2,2,0,0,0,0,83,2,0,True,True,2
157,5,4,4,4,5,5,5,5,3,3,1,0,0,0,False,True,5
158,5,5,4,4,5,4,5,4,1,1,1,2,0,0,False,True,5
159,5,5,4,5,5,4,5,2,0,0,0,1,0,0,False,True,5
160,2,3,3,2,2,3,2,0,0,0,0,38,1,0,False,True,2
161,2,2,2,2,2,2,2,0,0,0,0,153,19,1,False,True,2
162,5,5,4,4,4,5,4,3,2,1,0,3,0,0,False,True,4
163,4,2,4,5,3,5,4,1,0,0,0,10,0,0,False,True,4
164,5,5,4,4,5,4,5,2,0,0,0,3,0,0,False,True,5
165,3,3,4,5,2,4,3,1,0,0,0,14,1,0,False,True,3
166,2,2,2,2,1,1,1,0,0,0,0,149,15,1,True,False,1
167,3,4,3,3,3,3,2,1,0,0,0,41,2,0,False,True,3
168,2,2,2,2,2,2,2,1,0,0,0,47,3,0,False,True,2
169,2,3,2,2,2,2,2,0,0,0,0,130,17,1,False,True,2
170,4,5,3,4,4,4,4,0,0,0,0,8,0,0,False,True,4
171,2,2,2,2,2,2,2,0,0,0,0,115,13,1,False,True,2
172,5,4,5,5,4,5,5,4,1,0,0,2,0,0,False,True,5
173,4,3,3,4,4,3,3,0,0,0,0,16,0,0,False,True,3
174,3,3,3,3,3,3,2,0,0,0,0,72,6,0,False,True,3
175,4,5,3,4,4,4,3,0,0,0,0,1,0,0,False,True,4
176,2,2,2,2,2,2,2,0,0,0,0,75,4,0,False,True,2
177,2,3,3,3,2,2,2,0,0,0,0,63,6,0,True,True,2
178,5,4,4,5,4,5,4,1,0,0,0,1,0,0,False,True,4
179,5,4,5,5,4,5,4,2,1,1,0,13,0,0,False,True,4
180,2,2,2,2,2,1,2,0,0,0,0,79,5,0,True,False,2
181,3,2,2,2,3,3,2,0,0,0,0,22,0,0,False,True,3
182,2,2,2,3,2,2,2,0,0,0,0,119,9,0,False,True,2
183,5,5,4,4,5,5,5,5,2,1,1,0,0,0,False,True,5
184,3,3,3,3,3,3,2,1,0,0,0,16,1,0,False,True,3
185,3,2,3,3,2,2,3,0,0,0,0,34,0,0,False,True,2
186,3,3,3,3,3,3,3,0,0,0,0,33,1,0,False,True,3
187,5,3,4,5,4,5,4,0,0,0,0,3,0,0,False,True,4
188,2,2,2,2,2,2,2,0,0,0,0,116,11,1,True,True,2
189,3,2,3,3,3,3,3,0,0,0,0,25,1,0,False,True,3
190,3,4,3,3,3,4,4,1,0,0,0,3,0,0,False,True,4
191,5,3,5,5,4,4,4,2,1,0,0,0,0,0,False,True,4
192,2,2,2,2,2,2,2,0,0,0,0,67,1,0,False,True,2
193,3,2,4,4,2,3,3,1,0,0,0,37,1,0,False,True,3
194,5,5,4,5,5,5,5,5,1,0,0,1,0,0,False,True,5
195,3,2,3,3,2,3,3,0,0,0,0,13,0,0,False,True,3
196,3,3,2,2,3,2,2,0,0,0,0,69,5,0,False,True,2
197,2,2,2,2,2,2,2,0,0,0,0,123,7,0,False,True,2
198,4,4,3,5,3,3,4,0,0,0,0,18,0,0,False,True,3
199,2,2,2,3,2,2,3,0,0,0,0,27,2,0,False,True,2
200,3,3,3,3,3,2,3,0,0,0,0,84,1,0,False,True,3
201,4,2,3,4,3,3,4,0,0,0,0,49,0,0,False,True,3
202,2,2,2,3,2,2,2,0,0,0,0,87,11,1,False,True,2
203,4,2,3,4,3,2,4,0,0,0,0,36,0,0,False,True,3
204,4,4,3,4,4,3,4,0,0,0,0,6,0,0,False,True,4
205,2,2,2,2,2,2,2,0,0,0,0,159,21,2,False,True,2
206,3,4,3,3,3,3,4,0,0,0,0,18,0,0,False,True,3
207,4,4,3,4,4,3,4,1,0,0,0,16,0,0,False,True,4
208,2,3,3,3,2,2,2,0,0,0,0,146,24,2,True,True,2
209,5,5,4,4,4,5,5,4,2,1,0,0,0,0,False,True,5
210,4,3,4,4,3,4,4,0,0,0,0,4,0,0,False,True,4
211,2,2,2,2,2,1,2,0,0,0,0,162,18,1,True,False,2
212,4,4,4,5,4,4,4,3,0,0,0,3,0,0,False,True,4
213,2,2,2,2,2,2,2,1,0,0,0,146,9,0,False,True,2
214,2,2,2,2,2,2,2,0,0,0,0,111,14,1,False,True,2
215,3,4,3,3,3,2,3,0,0,0,0,42,0,0,False,True,3
216,3,3,2,2,4,3,3,0,0,0,0,5,0,0,False,True,3
217,4,2,4,4,3,4,4,0,0,0,0,5,0,0,False,True,4
218,2,2,2,3,2,2,2,0,0,0,0,166,29,2,False,True,2
219,3,4,3,3,3,3,3,1,0,0,0,42,3,0,False,True,3
220,4,4,4,4,3,4,4,1,0,0,0,9,1,0,False,True,4
221,3,3,3,3,3,3,4,1,0,0,0,39,0,0,False,True,3
222,4,3,3,4,3,4,3,0,0,0,0,2,0,0,False,True,3
223,2,3,2,3,2,2,3,1,0,0,0,27,0,0,False,True,2
224,4,5,3,4,4,3,4,0,0,0,0,0,0,0,False,True,4
225,5,5,4,5,5,4,5,2,1,1,1,1,0,0,False,True,5
226,3,4,3,3,3,3,3,1,0,0,0,33,0,0,False,True,3
227,2,3,2,2,1,2,2,0,0,0,0,134,11,1,True,False,2
228,2,2,2,2,2,2,2,0,0,0,0,137,15,1,False,True,2
229,5,3,4,4,4,4,4,1,1,0,0,7,1,0,False,True,4
230,2,3,2,3,2,2,3,0,0,0,0,131,11,1,False,True,2
231,5,5,4,5,4,4,5,2,0,0,0,0,0,0,False,True,4
232,2,2,2,2,2,2,2,0,0,0,0,145,11,1,True,True,2
233,2,2,2,2,2,2,2,0,0,0,0,69,7,0,False,True,2
234,4,2,3,4,3,4,3,0,0,0,0,16,0,0,False,True,3
235,2,2,2,3,2,2,2,0,0,0,0,80,7,0,False,True,2
236,3,5,4,4,3,3,3,0,0,0,0,9,0,0,False,True,3
237,3,4,3,2,3,3,3,1,0,0,0,14,0,0,False,True,3
238,3,2,3,4,2,3,3,0,0,0,0,21,2,0,False,True,3
239,3,3,3,3,3,3,2,0,0,0,0,49,5,0,False,True,3
240,5,4,4,4,5,4,5,0,0,0,0,2,0,0,False,True,4
241,3,2,3,3,3,3,2,1,0,0,0,82,5,0,False,True,3
242,4,5,4,4,4,4,4,1,0,0,0,6,0,0,False,True,4
243,2,2,2,2,2,2,2,0,0,0,0,75,10,1,True,True,2
244,2,3,2,2,2,2,2,0,0,0,0,136,11,1,False,True,2
245,3,4,3,3,3,2,2,0,0,0,0,48,2,0,False,True,2
246,2,2,2,2,2,1,1,0,0,0,0,159,21,2,True,False,1
247,5,3,4,5,5,4,5,6,1,0,0,1,0,0,False,True,5
248,5,4,4,5,4,5,4,1,0,0,0,3,0,0,False,True,4
249,5,4,4,5,4,4,5,1,0,0,0,3,0,0,False,True,4
250,2,4,2,2,2,2,2,0,0,0,0,120,9,0,True,True,2
251,2,3,2,2,2,2,2,0,0,0,0,142,11,1,True,True,2
252,3,2,3,4,3,3,3,0,0,0,0,17,0,0,False,True,3
253,5,3,5,5,5,5,5,5,1,1,0,0,0,0,False,True,5
254,2,2,2,2,2,2,2,0,0,0,0,156,24,2,False,True,2
255,4,5,3,4,4,3,4,0,0,0,0,4,0,0,False,True,4
256,3,4,3,3,3,3,3,0,0,0,0,11,0,0,False,True,3
257,4,4,4,4,4,4,4,1,0,0,0,7,0,0,False,True,4
258,3,3,2,3,3,3,2,0,0,0,0,24,0,0,False,True,3
259,2,2,2,2,2,2,2,0,0,0,0,135,16,1,False,True,2
260,3,5,4,3,4,3,2,0,0,0,0,32,1,0,False,True,3
261,4,5,3,3,4,4,3,0,0,0,0,9,0,0,False,True,4
262,5,5,4,4,4,5,4,1,0,0,0,1,0,0,False,True,4
263,3,2,3,3,2,3,3,0,0,0,0,39,0,0,False,True,3
264,4,4,3,4,4,4,4,2,0,0,0,1,0,0,False,True,4
265,5,5,4,4,5,5,5,6,5,2,0,0,0,0,False,True,5
266,2,2,2,2,2,2,2,0,0,0,0,144,24,2,False,True,2
267,2,2,2,2,2,2,2,0,0,0,0,68,4,0,False,True,2
268,5,5,4,5,5,4,4,1,1,0,0,0,0,0,False,True,4
269,2,2,2,2,2,2,2,0,0,0,0,86,8,0,False,True,2
270,4,4,3,3,4,4,3,1,0,0,0,4,0,0,False,True,4
271,2,2,2,3,2,2,2,0,0,0,0,137,18,1,False,True,2
272,3,2,4,4,2,3,3,0,0,0,0,36,2,0,False,True,3
273,3,3,3,3,3,3,2,0,0,0,0,42,2,0,False,True,3
274,2,2,2,2,2,2,2,0,0,0,0,136,13,1,False,True,2
275,3,3,4,4,2,3,3,0,0,0,0,13,0,0,False,True,3
276,3,3,3,3,3,3,2,0,0,0,0,21,1,0,False,True,3
277,4,3,3,4,4,3,4,0,0,0,0,16,0,0,False,True,4
278,3,2,3,4,3,2,3,0,0,0,0,15,0,0,False,True,3
279,3,4,3,3,3,2,4,0,0,0,0,31,1,0,False,True,3
280,5,4,4,5,5,4,5,5,3,2,0,1,0,0,False,True,5
281,3,2,3,3,2,2,4,0,0,0,0,26,0,0,False,True,3
282,3,5,2,3,3,3,3,0,0,0,0,43,1,0,False,True,3
283,4,4,3,4,5,3,4,0,0,0,0,8,0,0,False,True,4
284,3,2,3,3,3,3,3,0,0,0,0,28,1,0,False,True,3
285,5,5,4,4,5,4,5,2,1,1,0,6,0,0,False,True,5
286,3,5,3,3,3,3,3,0,0,0,0,83,4,0,False,True,3
287,4,2,3,4,3,3,3,0,0,0,0,45,3,0,False,True,3
288,2,2,2,2,2,2,2,0,0,0,0,156,26,2,True,True,2
289,4,2,3,4,3,4,3,0,0,0,0,22,0,0,False,True,3
290,2,3,3,3,3,2,3,0,0,0,0,55,2,0,False,True,3
291,3,3,2,2,1,2,3,0,0,0,0,93,12,1,True,False,2
292,4,2,3,4,3,3,4,0,0,0,0,27,1,0,False,True,3
293,4,3,4,5,3,4,4,0,0,0,0,4,0,0,False,True,4
294,4,4,4,5,4,4,4,0,0,0,0,6,0,0,False,True,4
295,4,5,3,3,4,3,3,0,0,0,0,24,1,0,False,True,3
296,4,3,4,4,4,4,3,0,0,0,0,9,0,0,False,True,4
297,2,2,2,2,2,2,2,0,0,0,0,152,28,2,False,True,2
298,4,3,2,3,3,3,4,0,0,0,0,30,1,0,False,True,3
299,5,4,5,5,5,5,5,3,1,1,0,0,0,0,False,True,5
300,4,3,4,4,4,4,3,0,0,0,0,13,0,0,False,True,4
301,2,3,2,2,3,2,2,0,0,0,0,124,11,1,False,True,2
302,4,3,3,4,4,4,3,0,0,0,0,1,0,0,False,True,4
303,2,3,2,3,2,2,3,0,0,0,0,52,2,0,True,True,2
304,5,4,4,5,4,4,5,0,0,0,0,1,0,0,False,True,4
305,3,2,2,3,3,3,2,0,0,0,0,13,0,0,False,True,3
306,4,2,3,4,3,3,4,0,0,0,0,26,3,0,False,True,3
307,2,2,2,2,2,2,2,0,0,0,0,98,7,0,False,True,2
308,3,3,4,4,3,3,3,0,0,0,0,26,0,0,False,True,3
309,4,5,3,4,4,3,4,0,0,0,0,4,0,0,False,True,4
310,5,4,4,4,4,4,4,2,0,0,0,2,0,0,False,True,4
311,3,5,4,4,3,2,3,1,0,0,0,36,0,0,False,True,3
312,2,2,2,3,2,2,2,0,0,0,0,127,10,1,False,True,2
313,3,5,3,3,3,3,2,0,0,0,0,46,1,0,False,True,3
314,4,3,4,4,3,4,4,0,0,0,0,9,0,0,False,True,4
315,5,5,5,5,5,4,5,3,1,0,0,3,0,0,False,True,5
316,3,4,4,4,3,3,3,1,0,0,0,35,1,0,False,True,3
317,4,3,3,4,4,4,4,2,1,0,0,2,0,0,False,True,4
318,3,4,3,3,3,3,3,0,0,0,0,47,1,0,False,True,3
319,2,3,2,2,2,2,1,0,0,0,0,138,16,1,True,False,2
320,3,2,3,3,3,3,3,0,0,0,0,91,5,0,False,True,3
321,2,3,3,3,2,2,3,0,0,0,0,133,17,1,False,True,2
322,4,4,3,3,4,3,3,0,0,0,0,2,0,0,False,True,3
323,2,3,2,2,2,2,2,0,0,0,0,122,12,1,False,True,2
324,2,2,2,2,2,2,2,0,0,0,0,144,20,2,True,True,2
325,4,2,3,4,3,4,4,0,0,0,0,14,0,0,False,True,4
326,4,5,3,4,5,3,4,0,0,0,0,6,0,0,False,True,4
327,4,2,3,4,3,3,3,0,0,0,0,25,1,0,False,True,3
328,3,3,3,3,3,3,3,0,0,0,0,34,2,0,False,True,3
329,5,5,5,5,5,5,4,6,1,0,0,2,0,0,False,True,5
330,3,5,3,3,4,4,3,1,0,0,0,6,0,0,False,True,4
331,4,4,3,4,3,3,4,0,0,0,0,6,0,0,False,True,3
332,4,2,3,4,3,4,4,0,0,0,0,19,0,0,False,True,4
333,2,2,2,3,2,2,2,0,0,0,0,129,10,1,True,True,2
334,2,2,2,3,2,2,3,1,0,0,0,71,4,0,False,True,2
335,4,3,4,4,3,4,4,1,0,0,0,13,0,0,False,True,4
336,5,5,5,5,5,5,5,8,7,4,2,0,0,0,False,True,5
337,5,4,4,4,5,4,4,1,1,0,0,2,0,0,False,True,4
338,3,2,3,3,3,3,3,0,0,0,0,21,0,0,False,True,3
339,2,3,2,3,2,2,2,0,0,0,0,89,5,0,True,True,2
340,2,2,2,2,2,2,2,0,0,0,0,121,13,1,True,True,2
341,3,2,2,3,2,3,2,0,0,0,0,17,0,0,False,True,2
342,5,4,4,4,5,5,4,2,0,0,0,3,0,0,False,True,5
343,2,2,3,4,2,2,2,0,0,0,0,156,16,1,False,True,2
344,2,2,2,2,2,2,2,0,0,0,0,163,23,2,True,True,2
345,4,3,4,4,4,4,3,0,0,0,0,11,0,0,False,True,4
346,5,4,5,5,5,5,5,6,3,2,1,1,0,0,False,True,5
347,5,4,5,5,4,5,5,2,1,0,0,0,0,0,False,True,5
348,3,3,4,3,2,3,2,0,0,0,0,47,1,0,False,True,2
349,2,3,2,2,2,2,2,0,0,0,0,68,2,0,False,True,2
350,2,3,2,3,2,2,2,0,0,0,0,146,19,1,True,True,2
351,5,3,5,5,5,5,4,2,0,0,0,1,0,0,False,True,5
352,4,5,4,5,4,4,4,0,0,0,0,7,0,0,False,True,4
353,3,2,3,4,2,2,3,0,0,0,0,30,1,0,False,True,2
354,2,2,2,2,2,2,2,0,0,0,0,139,22,2,False,True,2
355,4,3,3,3,3,4,4,1,0,0,0,26,0,0,False,True,4
356,3,4,3,3,3,3,3,0,0,0,0,12,0,0,False,True,3
357,4,3,4,4,3,4,4,0,0,0,0,2,0,0,False,True,4
358,2,2,2,2,2,1,2,0,0,0,0,126,18,1,True,False,2
359,4,2,4,4,3,4,4,0,0,0,0,3,0,0,False,True,4
360,5,5,4,5,4,4,5,4,2,0,0,2,0,0,False,True,4
361,3,4,3,2,3,2,3,0,0,0,0,16,0,0,False,True,3
362,4,4,3,4,4,3,4,0,0,0,0,25,0,0,False,True,4
363,5,4,4,4,5,4,4,0,0,0,0,3,0,0,False,True,4
364,3,4,3,4,4,3,3,0,0,0,0,9,1,0,False,True,3
365,3,3,2,3,3,2,3,0,0,0,0,11,0,0,False,True,3
366,3,3,4,3,3,3,3,0,0,0,0,16,0,0,False,True,3
367,3,5,4,4,3,4,3,0,0,0,0,17,2,0,False,True,3
368,3,2,3,3,2,3,3,0,0,0,0,15,1,0,False,True,3
369,5,3,4,4,3,4,5,0,0,0,0,6,0,0,False,True,4
370,5,4,4,5,5,4,5,1,0,0,0,1,0,0,False,True,5
371,3,3,3,3,3,3,4,0,0,0,0,6,0,0,False,True,3
372,4,4,3,4,4,3,3,0,0,0,0,6,0,0,False,True,3
373,4,4,3,3,4,2,3,0,0,0,0,32,0,0,False,True,3
374,5,5,4,5,4,4,4,2,0,0,0,0,0,0,False,True,4
375,3,2,3,4,3,3,4,0,0,0,0,6,0,0,False,True,3
376,3,3,3,3,3,3,3,0,0,0,0,10,0,0,False,True,3
377,3,2,3,4,2,2,4,0,0,0,0,32,2,0,False,True,3
378,2,2,2,2,2,2,2,0,0,0,0,125,4,0,False,True,2
379,3,3,4,4,2,3,3,0,0,0,0,32,1,0,False,True,3
380,5,5,4,4,4,5,4,2,0,0,0,1,0,0,False,True,4
381,5,5,4,5,4,4,4,1,0,0,0,1,0,0,False,True,4
382,3,3,2,2,3,3,2,0,0,0,0,36,0,0,False,True,3
383,3,5,3,3,4,2,3,0,0,0,0,30,1,0,False,True,3
