id,grade9,mat9,slo9,ang9,mat1,slo1,ang1,mat2,slo2,ang2,num_of_comp,num_of_awards,num_of_national_comp,num_of_national_awards,all_missed_hours,all_unexcused_hours,num_of_VU,retake,passed_year2,year2_overall
53,3,3,2,3,3,2,5,3,3,4,0,0,0,0,19,0,0,False,True,3.3
54,5,5,5,4,5,5,5,5,5,5,6,5,2,1,0,0,0,False,True,5.0
55,4,4,4,4,4,4,5,4,4,4,1,0,0,0,4,0,0,False,True,3.92
56,4,3,4,5,4,4,4,4,4,4,0,0,0,0,5,0,0,False,True,3.9
57,5,5,5,5,5,4,5,5,5,5,5,2,2,0,0,0,0,False,True,5.0
58,4,4,4,5,4,3,4,4,4,4,0,0,0,0,2,0,0,False,True,3.9
59,2,2,2,2,2,2,2,1,3,2,0,0,0,0,83,3,0,True,False,2.08
60,5,5,4,5,5,5,5,5,5,5,9,2,1,0,0,0,0,False,True,5.0
61,3,3,3,3,3,4,3,3,3,3,0,0,0,0,23,0,0,False,True,3.0
62,4,3,3,4,4,3,3,3,3,3,0,0,0,0,17,1,0,False,True,3.0
63,5,4,5,5,5,4,5,5,5,5,4,2,1,1,0,0,0,False,True,5.0
64,3,2,3,3,2,3,3,2,3,3,0,0,0,0,28,3,0,False,True,2.69
65,2,2,3,3,2,2,2,2,2,2,0,0,0,0,109,5,0,False,True,2.08
66,3,2,3,4,2,3,3,3,3,3,0,0,0,0,28,0,0,False,True,3.0
67,2,3,2,2,3,2,2,2,2,2,0,0,0,0,126,8,0,False,True,2.06
68,3,3,3,4,2,3,3,3,3,3,0,0,0,0,25,2,0,False,True,2.99
69,5,5,4,5,5,4,5,5,5,5,6,3,3,0,0,0,0,False,True,5.0
71,3,3,2,2,3,3,2,2,3,3,0,0,0,0,30,1,0,True,True,2.69
72,5,5,4,5,5,4,4,5,4,4,4,1,0,0,5,0,0,False,True,4.31
73,3,2,3,3,2,2,3,2,2,2,0,0,0,0,80,4,0,False,True,2.08
74,5,3,4,4,5,4,5,5,5,5,5,2,2,0,0,0,0,False,True,5.0
75,4,4,4,5,3,4,5,4,4,4,2,0,0,0,1,0,0,False,True,3.94
76,5,5,4,4,4,4,3,4,4,4,4,0,0,0,0,0,0,False,True,3.98
78,5,4,3,4,5,4,4,4,4,4,1,0,0,0,7,0,0,False,True,3.92
79,3,2,2,3,2,2,3,2,2,2,0,0,0,0,92,6,0,False,True,2.07
80,3,2,4,4,3,3,3,3,3,3,1,0,0,0,20,1,0,False,True,3.02
81,3,3,3,2,2,3,3,3,3,3,0,0,0,0,30,0,0,False,True,3.0
82,3,4,3,4,3,3,3,3,3,3,1,0,0,0,22,0,0,False,True,3.02
83,3,3,3,2,4,3,3,3,3,3,0,0,0,0,28,0,0,False,True,3.0
84,5,4,4,5,5,5,5,5,5,5,9,3,3,0,0,0,0,False,True,5.0
85,4,5,3,4,4,4,4,4,4,4,0,0,0,0,4,0,0,False,True,3.9
86,3,4,2,2,3,2,3,3,3,3,0,0,0,0,32,0,0,False,True,3.0
87,5,5,5,5,5,4,4,5,4,4,2,0,0,0,4,0,0,False,True,4.24
88,4,4,3,3,4,4,3,4,4,3,0,0,0,0,9,0,0,False,True,3.6
89,3,2,3,3,3,3,3,3,3,3,0,0,0,0,20,0,0,False,True,3.0
90,3,2,3,4,2,2,3,2,2,3,0,0,0,0,60,3,0,False,True,2.39
91,3,3,3,4,3,3,2,3,3,3,0,0,0,0,25,0,0,False,True,3.0
92,4,4,3,3,4,3,3,4,3,3,0,0,0,0,14,0,0,False,True,3.3
93,2,2,2,2,2,2,2,2,2,2,0,0,0,0,114,5,0,False,True,2.08
94,4,4,3,4,3,4,4,3,4,4,0,0,0,0,16,0,0,False,True,3.6
95,3,4,3,3,3,2,3,2,3,3,0,0,0,0,34,1,0,True,True,2.69
96,3,3,3,3,3,3,2,3,3,3,1,0,0,0,19,1,0,False,True,3.02
97,2,4,2,2,3,2,2,2,2,2,0,0,0,0,92,4,0,False,True,2.08
98,3,2,4,4,2,3,3,3,3,3,0,0,0,0,25,0,0,False,True,3.0
99,3,5,3,3,3,3,2,3,3,3,0,0,0,0,26,3,0,False,True,2.99
100,3,4,3,3,3,3,2,3,3,3,0,0,0,0,23,0,0,False,True,3.0
101,4,4,3,3,3,3,4,3,3,3,2,0,0,0,29,0,0,False,True,3.04
102,3,4,3,4,3,2,3,3,3,3,0,0,0,0,20,1,0,False,True,3.0
103,2,2,2,3,2,2,2,2,2,2,0,0,0,0,75,9,0,False,True,2.06
104,4,3,3,3,3,2,3,3,3,3,0,0,0,0,16,0,0,False,True,3.0
105,2,4,2,2,3,2,2,3,2,2,0,0,0,0,88,4,0,True,True,2.38
106,3,2,4,4,3,3,3,3,3,3,0,0,0,0,34,0,0,False,True,3.0
107,3,2,2,3,3,3,3,3,3,2,0,0,0,0,41,3,0,True,True,2.69
108,4,4,4,4,4,4,4,4,4,4,1,0,0,0,4,0,0,False,True,3.92
109,3,2,4,3,3,3,3,3,3,3,0,0,0,0,21,0,0,False,True,3.0
110,4,4,3,4,3,4,4,3,4,4,1,0,0,0,8,0,0,False,True,3.62
111,3,4,3,2,3,3,2,3,3,3,0,0,0,0,19,0,0,False,True,3.0
112,3,3,4,4,2,4,3,3,3,3,0,0,0,0,22,0,0,False,True,3.0
113,4,5,3,4,4,4,4,4,4,4,1,0,0,0,4,0,0,False,True,3.92
114,3,2,2,3,3,3,3,3,3,3,0,0,0,0,26,1,0,False,True,3.0
115,4,4,3,4,4,4,4,4,4,4,0,0,0,0,7,0,0,False,True,3.9
116,3,2,4,5,2,3,3,3,3,3,0,0,0,0,26,1,0,False,True,3.0
117,3,2,3,4,2,4,2,3,4,1,0,0,0,0,32,1,0,True,False,2.69
118,3,3,3,3,2,3,3,3,3,3,0,0,0,0,21,1,0,False,True,3.0
119,4,2,4,4,3,4,3,3,3,3,1,0,0,0,16,1,0,False,True,3.02
120,4,4,3,4,4,3,3,4,3,3,0,0,0,0,21,0,0,False,True,3.3
122,2,3,3,3,2,2,2,2,2,3,0,0,0,0,85,2,0,True,True,2.39
123,4,2,4,5,3,2,4,3,3,4,0,0,0,0,9,0,0,False,True,3.3
124,3,3,3,4,3,3,3,3,3,3,0,0,0,0,18,1,0,False,True,3.0
125,3,2,2,3,3,3,3,3,3,3,0,0,0,0,26,1,0,False,True,3.0
127,3,5,2,3,3,3,3,3,3,3,0,0,0,0,27,1,0,False,True,3.0
128,3,2,3,3,2,3,3,3,3,3,0,0,0,0,22,2,0,False,True,2.99
129,3,4,3,3,3,3,3,3,3,3,0,0,0,0,26,0,0,False,True,3.0
130,5,5,3,5,5,4,4,4,4,4,2,0,0,0,9,0,0,False,True,3.94
131,3,2,3,3,3,4,2,3,3,3,0,0,0,0,28,1,0,False,True,3.0
132,5,4,4,5,4,5,4,4,4,4,2,0,0,0,7,0,0,False,True,3.94
133,4,4,3,4,4,4,4,4,4,4,1,0,0,0,5,0,0,False,True,3.92
134,5,5,4,5,5,4,5,5,5,5,4,1,0,0,0,0,0,False,True,4.91
135,2,2,2,2,2,2,2,3,3,1,0,0,0,0,66,5,0,True,False,2.38
136,3,2,4,4,2,3,3,3,3,3,0,0,0,0,21,0,0,False,True,3.0
137,2,3,2,3,2,2,2,2,2,2,0,0,0,0,112,8,0,True,True,2.06
138,2,2,2,2,2,2,2,2,2,2,0,0,0,0,117,12,1,True,True,1.99
139,2,2,2,2,2,2,2,2,2,3,0,0,0,0,59,3,0,True,True,2.39
140,2,2,2,2,2,2,2,2,2,2,0,0,0,0,135,16,1,True,True,1.97
141,5,4,4,4,5,4,4,4,4,4,1,0,0,0,4,0,0,False,True,3.92
142,4,2,3,4,4,4,4,4,4,4,1,0,0,0,6,0,0,False,True,3.92
143,3,2,4,4,2,3,3,3,3,3,0,0,0,0,16,0,0,False,True,3.0
144,3,3,3,3,3,2,3,3,3,3,0,0,0,0,20,2,0,False,True,2.99
145,4,4,3,3,4,3,4,4,4,4,2,1,0,0,2,0,0,False,True,3.97
146,3,5,3,3,3,2,3,4,3,2,0,0,0,0,29,3,0,True,True,2.99
147,4,5,3,4,5,4,5,4,4,4,2,1,0,0,6,0,0,False,True,3.97
148,2,4,3,3,2,3,2,2,2,2,0,0,0,0,85,3,0,False,True,2.08
149,2,2,2,2,2,2,2,2,2,2,0,0,0,0,149,7,0,True,True,2.06
150,5,4,4,4,4,4,5,4,4,5,2,0,0,0,4,0,0,False,True,4.24
151,4,3,3,4,3,3,4,3,3,4,0,0,0,0,21,1,0,False,True,3.29
152,2,3,2,2,3,2,3,2,3,3,0,0,0,0,27,0,0,False,True,2.7
153,4,2,3,4,3,3,3,3,3,3,0,0,0,0,24,0,0,False,True,3.0
154,3,4,3,3,3,2,2,2,2,2,0,0,0,0,87,3,0,False,True,2.08
155,4,4,3,4,3,4,4,4,4,4,1,0,0,0,2,0,0,False,True,3.92
157,5,4,4,4,5,5,5,5,5,5,6,1,1,1,0,0,0,False,True,5.0
158,5,5,4,4,5,4,5,5,5,5,9,6,4,1,0,0,0,False,True,5.0
159,5,5,4,5,5,4,5,5,5,5,3,2,0,0,0,0,0,False,True,4.92
160,2,3,3,2,2,3,2,2,2,2,0,0,0,0,82,5,0,False,True,2.08
161,2,2,2,2,2,2,2,2,2,2,0,0,0,0,108,9,0,True,True,2.06
162,5,5,4,4,4,5,4,4,4,4,2,0,0,0,9,0,0,False,True,3.94
163,4,2,4,5,3,5,4,4,4,4,2,1,0,0,3,0,0,False,True,3.97
164,5,5,4,4,5,4,5,5,4,5,6,0,0,0,0,0,0,False,True,4.62
165,3,3,4,5,2,4,3,3,4,3,0,0,0,0,22,1,0,False,True,3.29
167,3,4,3,3,3,3,2,3,3,3,1,1,0,0,28,0,0,False,True,3.05
168,2,2,2,2,2,2,2,2,2,2,0,0,0,0,69,8,0,False,True,2.06
169,2,3,2,2,2,2,2,2,2,2,0,0,0,0,99,4,0,False,True,2.08
170,4,5,3,4,4,4,4,4,4,4,3,0,0,0,3,0,0,False,True,3.96
171,2,2,2,2,2,2,2,2,3,2,0,0,0,0,87,12,1,True,True,2.29
172,5,4,5,5,4,5,5,5,5,5,6,2,2,0,0,0,0,False,True,5.0
173,4,3,3,4,4,3,3,4,3,3,0,0,0,0,20,2,0,False,True,3.29
174,3,3,3,3,3,3,2,3,3,3,0,0,0,0,27,0,0,False,True,3.0
175,4,5,3,4,4,4,3,4,4,4,0,0,0,0,5,0,0,False,True,3.9
176,2,2,2,2,2,2,2,2,2,1,0,0,0,0,82,6,0,True,False,1.77
177,2,3,3,3,2,2,2,2,2,2,0,0,0,0,62,4,0,False,True,2.08
178,5,4,4,5,4,5,4,4,5,4,2,0,0,0,0,0,0,False,True,4.24
179,5,4,5,5,4,5,4,4,4,4,2,0,0,0,1,0,0,False,True,3.94
181,3,2,2,2,3,3,2,3,3,3,1,0,0,0,22,0,0,False,True,3.02
182,2,2,2,3,2,2,2,2,2,2,0,0,0,0,91,5,0,False,True,2.08
183,5,5,4,4,5,5,5,5,5,5,8,2,1,0,0,0,0,False,True,5.0
184,3,3,3,3,3,3,2,3,3,3,0,0,0,0,23,0,0,False,True,3.0
185,3,2,3,3,2,2,3,2,3,3,0,0,0,0,68,3,0,True,True,2.69
186,3,3,3,3,3,3,3,3,3,3,0,0,0,0,20,1,0,False,True,3.0
187,5,3,4,5,4,5,4,4,5,4,1,0,0,0,3,0,0,False,True,4.22
189,3,2,3,3,3,3,3,3,3,3,0,0,0,0,28,2,0,False,True,2.99
190,3,4,3,3,3,4,4,4,4,4,0,0,0,0,0,0,0,False,True,3.9
191,5,3,5,5,4,4,4,4,4,4,0,0,0,0,3,0,0,False,True,3.9
192,2,2,2,2,2,2,2,2,2,2,0,0,0,0,110,3,0,False,True,2.08
193,3,2,4,4,2,3,3,3,3,3,0,0,0,0,15,0,0,False,True,3.0
194,5,5,4,5,5,5,5,5,5,5,6,4,3,0,1,0,0,False,True,5.0
195,3,2,3,3,2,3,3,3,3,3,1,0,0,0,19,0,0,False,True,3.02
196,3,3,2,2,3,2,2,2,2,2,0,0,0,0,79,5,0,False,True,2.08
197,2,2,2,2,2,2,2,2,2,2,0,0,0,0,95,4,0,False,True,2.08
198,4,4,3,5,3,3,4,3,3,3,0,0,0,0,12,1,0,False,True,3.0
199,2,2,2,3,2,2,3,2,3,2,0,0,0,0,107,3,0,True,True,2.39
200,3,3,3,3,3,2,3,3,3,3,0,0,0,0,27,0,0,False,True,3.0
201,4,2,3,4,3,3,4,3,3,4,1,0,0,0,16,1,0,False,True,3.31
202,2,2,2,3,2,2,2,2,2,2,0,0,0,0,99,10,1,False,True,2.0
203,4,2,3,4,3,2,4,4,3,4,0,0,0,0,12,2,0,False,True,3.59
204,4,4,3,4,4,3,4,4,4,4,0,0,0,0,10,0,0,False,True,3.9
205,2,2,2,2,2,2,2,2,3,3,0,0,0,0,70,4,0,True,True,2.68
206,3,4,3,3,3,3,4,3,3,3,0,0,0,0,16,1,0,False,True,3.0
207,4,4,3,4,4,3,4,4,4,4,0,0,0,0,6,0,0,False,True,3.9
208,2,3,3,3,2,2,2,3,1,2,0,0,0,0,75,6,0,True,False,2.07
209,5,5,4,4,4,5,5,5,5,5,1,1,0,0,1,0,0,False,True,4.85
210,4,3,4,4,3,4,4,4,4,4,0,0,0,0,8,1,0,False,True,3.9
211,2,2,2,2,2,2,2,2,2,2,0,0,0,0,97,11,1,True,True,2.0
212,4,4,4,5,4,4,4,4,4,4,1,1,0,0,11,0,0,False,True,3.95
213,2,2,2,2,2,2,2,2,2,1,0,0,0,0,99,12,1,True,False,1.69
214,2,2,2,2,2,2,2,2,3,2,0,0,0,0,98,5,0,True,True,2.38
215,3,4,3,3,3,2,3,3,3,3,0,0,0,0,29,1,0,False,True,3.0
216,3,3,2,2,4,3,3,3,3,3,0,0,0,0,24,1,0,False,True,3.0
217,4,2,4,4,3,4,4,4,4,4,1,0,0,0,4,0,0,False,True,3.92
218,2,2,2,3,2,2,2,2,2,2,0,0,0,0,114,5,0,False,True,2.08
219,3,4,3,3,3,3,3,3,3,3,0,0,0,0,31,1,0,False,True,3.0
220,4,4,4,4,3,4,4,4,4,4,1,0,0,0,4,0,0,False,True,3.92
221,3,3,3,3,3,3,4,3,3,3,0,0,0,0,27,0,0,False,True,3.0
222,4,3,3,4,3,4,3,3,4,3,2,0,0,0,10,0,0,False,True,3.34
223,2,3,2,3,2,2,3,3,2,3,0,0,0,0,65,2,0,True,True,2.69
224,4,5,3,4,4,3,4,4,4,4,0,0,0,0,8,0,0,False,True,3.9
225,5,5,4,5,5,4,5,5,5,5,5,2,1,0,1,0,0,False,True,4.99
226,3,4,3,3,3,3,3,3,3,3,0,0,0,0,21,2,0,False,True,2.99
227,2,3,2,2,2,2,2,3,1,3,0,0,0,0,67,1,0,True,False,2.4
228,2,2,2,2,2,2,2,2,2,2,0,0,0,0,71,5,0,False,True,2.08
229,5,3,4,4,4,4,4,4,4,4,1,0,0,0,3,0,0,False,True,3.92
230,2,3,2,3,2,2,3,3,3,2,0,0,0,0,70,5,0,True,True,2.67
231,5,5,4,5,4,4,5,4,4,5,3,0,0,0,4,0,0,False,True,4.26
233,2,2,2,2,2,2,2,2,2,2,0,0,0,0,76,7,0,False,True,2.06
234,4,2,3,4,3,4,3,3,3,3,0,0,0,0,25,1,0,False,True,3.0
235,2,2,2,3,2,2,2,2,2,2,0,0,0,0,101,4,0,False,True,2.08
236,3,5,4,4,3,3,3,3,3,3,0,0,0,0,27,1,0,False,True,3.0
237,3,4,3,2,3,3,3,3,3,3,0,0,0,0,20,2,0,False,True,2.99
238,3,2,3,4,2,3,3,3,3,3,0,0,0,0,21,1,0,False,True,3.0
239,3,3,3,3,3,3,2,3,3,3,0,0,0,0,27,1,0,False,True,3.0
240,5,4,4,4,5,4,5,5,4,5,3,0,0,0,2,0,0,False,True,4.56
241,3,2,3,3,3,3,2,3,3,3,0,0,0,0,21,0,0,False,True,3.0
242,4,5,4,4,4,4,4,4,4,4,1,0,0,0,6,0,0,False,True,3.92
244,2,3,2,2,2,2,2,2,2,2,0,0,0,0,65,4,0,False,True,2.08
245,3,4,3,3,3,2,2,2,2,3,0,0,0,0,89,1,0,True,True,2.4
246,2,2,2,2,2,2,2,2,2,2,0,0,0,0,148,22,2,True,True,1.9
247,5,3,4,5,5,4,5,5,5,5,3,0,0,0,0,0,0,False,True,4.86
248,5,4,4,5,4,5,4,4,4,4,0,0,0,0,8,0,0,False,True,3.9
249,5,4,4,5,4,4,5,4,4,4,0,0,0,0,9,0,0,False,True,3.9
251,2,3,2,2,2,2,2,2,2,2,0,0,0,0,103,1,0,False,True,2.1
252,3,2,3,4,3,3,3,3,3,3,0,0,0,0,24,3,0,False,True,2.99
253,5,3,5,5,5,5,5,5,5,5,8,2,2,1,0,0,0,False,True,5.0
254,2,2,2,2,2,2,2,2,2,2,0,0,0,0,113,4,0,False,True,2.08
255,4,5,3,4,4,3,4,4,4,4,0,0,0,0,2,0,0,False,True,3.9
256,3,4,3,3,3,3,3,3,3,3,0,0,0,0,17,0,0,False,True,3.0
257,4,4,4,4,4,4,4,4,4,4,0,0,0,0,8,0,0,False,True,3.9
258,3,3,2,3,3,3,2,3,3,3,0,0,0,0,25,0,0,False,True,3.0
259,2,2,2,2,2,2,2,2,2,2,0,0,0,0,162,8,0,True,True,2.06
260,3,5,4,3,4,3,2,3,3,3,0,0,0,0,22,1,0,False,True,3.0
261,4,5,3,3,4,4,3,4,4,4,1,0,0,0,7,0,0,False,True,3.92
262,5,5,4,4,4,5,4,4,4,4,2,0,0,0,5,0,0,False,True,3.94
263,3,2,3,3,2,3,3,3,3,3,0,0,0,0,36,3,0,False,True,2.99
264,4,4,3,4,4,4,4,4,4,4,0,0,0,0,13,0,0,False,True,3.9
265,5,5,4,4,5,5,5,5,5,5,6,3,2,1,0,0,0,False,True,5.0
266,2,2,2,2,2,2,2,2,1,2,0,0,0,0,151,8,0,True,False,1.76
267,2,2,2,2,2,2,2,2,1,2,0,0,0,0,119,13,1,True,False,1.69
268,5,5,4,5,5,4,4,5,4,4,2,0,0,0,3,0,0,False,True,4.24
269,2,2,2,2,2,2,2,2,2,2,0,0,0,0,89,4,0,False,True,2.08
270,4,4,3,3,4,4,3,4,4,4,1,0,0,0,8,0,0,False,True,3.92
271,2,2,2,3,2,2,2,2,2,2,0,0,0,0,74,5,0,False,True,2.08
272,3,2,4,4,2,3,3,3,3,3,0,0,0,0,29,0,0,False,True,3.0
273,3,3,3,3,3,3,2,3,3,2,0,0,0,0,23,1,0,False,True,2.69
274,2,2,2,2,2,2,2,2,2,2,0,0,0,0,95,1,0,False,True,2.1
275,3,3,4,4,2,3,3,3,3,3,0,0,0,0,24,0,0,False,True,3.0
276,3,3,3,3,3,3,2,3,3,3,0,0,0,0,21,2,0,False,True,2.99
277,4,3,3,4,4,3,4,4,4,4,3,0,0,0,3,0,0,False,True,3.96
278,3,2,3,4,3,2,3,3,3,3,0,0,0,0,27,1,0,False,True,3.0
279,3,4,3,3,3,2,4,3,3,4,1,0,0,0,33,0,0,False,True,3.32
280,5,4,4,5,5,4,5,5,5,5,5,1,1,1,0,0,0,False,True,5.0
281,3,2,3,3,2,2,4,2,3,4,0,0,0,0,20,0,0,True,True,3.0
282,3,5,2,3,3,3,3,3,3,3,0,0,0,0,21,0,0,False,True,3.0
283,4,4,3,4,5,3,4,4,4,4,0,0,0,0,4,0,0,False,True,3.9
284,3,2,3,3,3,3,3,3,3,3,0,0,0,0,28,0,0,False,True,3.0
285,5,5,4,4,5,4,5,5,5,5,10,9,6,4,0,0,0,False,True,5.0
286,3,5,3,3,3,3,3,3,3,3,0,0,0,0,25,0,0,False,True,3.0
287,4,2,3,4,3,3,3,3,3,3,0,0,0,0,16,0,0,False,True,3.0
288,2,2,2,2,2,2,2,2,2,2,0,0,0,0,100,10,1,True,True,2.0
289,4,2,3,4,3,4,3,3,3,3,0,0,0,0,29,0,0,False,True,3.0
290,2,3,3,3,3,2,3,3,2,3,1,1,0,0,27,0,0,False,True,2.75
291,3,3,2,2,2,2,3,2,2,2,0,0,0,0,76,7,0,False,True,2.06
292,4,2,3,4,3,3,4,3,3,3,0,0,0,0,21,1,0,False,True,3.0
293,4,3,4,5,3,4,4,2,5,5,0,0,0,0,5,0,0,True,True,3.9
294,4,4,4,5,4,4,4,4,4,4,1,0,0,0,6,0,0,False,True,3.92
295,4,5,3,3,4,3,3,4,3,3,1,0,0,0,17,1,0,False,True,3.31
296,4,3,4,4,4,4,3,4,4,4,1,0,0,0,3,0,0,False,True,3.92
297,2,2,2,2,2,2,2,2,2,2,0,0,0,0,96,2,0,False,True,2.09
298,4,3,2,3,3,3,4,3,3,3,0,0,0,0,19,0,0,False,True,3.0
299,5,4,5,5,5,5,5,5,5,5,4,2,2,0,0,0,0,False,True,5.0
300,4,3,4,4,4,4,3,4,4,4,0,0,0,0,5,0,0,False,True,3.9
301,2,3,2,2,3,2,2,2,2,2,0,0,0,0,105,8,0,False,True,2.06
302,4,3,3,4,4,4,3,4,4,4,0,0,0,0,13,0,0,False,True,3.9
303,2,3,2,3,2,2,3,2,2,2,0,0,0,0,76,6,0,False,True,2.07
304,5,4,4,5,4,4,5,4,4,5,3,0,0,0,3,0,0,False,True,4.26
305,3,2,2,3,3,3,2,3,3,3,0,0,0,0,21,0,0,False,True,3.0
306,4,2,3,4,3,3,4,3,3,3,1,0,0,0,24,0,0,False,True,3.02
307,2,2,2,2,2,2,2,2,2,2,0,0,0,0,68,10,1,False,True,2.0
308,3,3,4,4,3,3,3,3,3,3,1,0,0,0,29,0,0,False,True,3.02
309,4,5,3,4,4,3,4,4,4,4,0,0,0,0,7,0,0,False,True,3.9
310,5,4,4,4,4,4,4,4,4,4,0,0,0,0,3,0,0,False,True,3.9
311,3,5,4,4,3,2,3,3,3,3,0,0,0,0,22,0,0,False,True,3.0
312,2,2,2,3,2,2,2,2,2,2,0,0,0,0,97,6,0,False,True,2.07
313,3,5,3,3,3,3,2,3,3,3,0,0,0,0,23,1,0,False,True,3.0
314,4,3,4,4,3,4,4,4,4,4,0,0,0,0,5,0,0,False,True,3.9
315,5,5,5,5,5,4,5,5,5,5,6,1,1,0,0,0,0,False,True,4.98
316,3,4,4,4,3,3,3,3,3,3,0,0,0,0,28,1,0,False,True,3.0
317,4,3,3,4,4,4,4,4,4,4,1,0,0,0,9,0,0,False,True,3.92
318,3,4,3,3,3,3,3,3,3,3,0,0,0,0,30,2,0,False,True,2.99
320,3,2,3,3,3,3,3,3,3,3,0,0,0,0,28,0,0,False,True,3.0
321,2,3,3,3,2,2,3,2,2,2,0,0,0,0,83,6,0,False,True,2.07
322,4,4,3,3,4,3,3,3,3,3,0,0,0,0,22,1,0,False,True,3.0
323,2,3,2,2,2,2,2,2,3,2,0,0,0,0,74,11,1,True,True,2.29
324,2,2,2,2,2,2,2,1,2,2,0,0,0,0,145,16,1,True,False,1.67
325,4,2,3,4,3,4,4,4,4,4,0,0,0,0,7,0,0,False,True,3.9
